Rank,BIB,Last Name,First Name,Country,Team,Age,Result
78,162,BEGGIN,Sofia,ITA,AROMITALIA - BASSO BIKES - VAIANO,22,+09:53
79,175,VAN VEEN,Esther,NED,PARKHOTEL VALKENBURG,29,+11:20
80,95,PINTAR,Urska,SLO,BTC CITY LJUBLJANA,34,+14:01
81,113,KASPER,Romy,GER,ALE CIPOLLINI,31,+15:11
82,14,ROY,Sarah,AUS,MITCHELTON SCOTT,33,+15:11
83,193,BALSAMO,Elisa,ITA,VALCAR CYLANCE CYCLING,21,+15:11
84,196,MUCCIOLI,Dalia,ITA,VALCAR CYLANCE CYCLING,26,+15:11
85,43,BARNES,Alice,GBR,CANYON / /SRAM RACING,24,+15:11
86,78,RIJKES,Sarah,AUT,WNT ROTOR PRO CYCLING TEAM,28,+15:11
87,96,ŽIGART,Urška,SLO,BTC CITY LJUBLJANA,23,+15:11
88,104,HANSEN,Louise,DEN,TEAM VIRTU CYCLING,24,+15:19
89,136,WRIGHT,Sophie,GBR,BIGLA,20,+17:26
90,206,WATERREUS,Kylie,NED,HEALTH MATE - LADIES TEAM,21,+17:26
91,45,LUDWIG,Hannah,GER,CANYON / /SRAM RACING,19,+17:26
92,16,TENNIGLO,Moniek,NED,MITCHELTON SCOTT,31,+17:26
93,101,PENTON,Sara,SWE,TEAM VIRTU CYCLING,31,+17:26
